layers = 1
number of threads = 1 0 0
base-FRHS_CG1xCG1-aa3be0 |               1 | 541.671663999557 |   112.992827772 |   427.705206965 | 56436.1877441406 | 338400.650024414 | 67723.4252929688 | 499.466991462667 | 2994.88610646372 | 599.360389755201 | 158.341362672516 | 14022.978401238 |  14135.97122901 | 16065.311194026 | 16493.016400991 |      442070.005 |               0 |    175.57128125
number of threads = 8 0 0
base-FRHS_CG1xCG1-aa3be0 |               1 | 71.5629272460938 |    14.009982622 |    56.736722425 | 7054.54254150391 | 42300.0640869141 | 8465.45104980469 | 503.536851675063 | 3019.28026809197 | 604.244222010076 | 149.205852717259 | 16753.862160952 | 16767.872143574 | 17006.828267804 | 17063.564990229 |      55025.1494 |               0 |     21.85363375
base-FRHS_CG1xCG1-aa3be0 |               1 | 71.8131053447723 |    14.025650655 |    57.178638273 | 7055.22155761719 | 42300.0869750977 | 8466.26586914062 | 503.022763874582 | 3015.90906658007 | 603.627316649499 | 148.066937668549 | 16753.862178394 | 16767.887829049 | 17009.441584709 | 17066.620222982 |      55096.7898 |               0 |     21.88208625
base-FRHS_CG1xCG1-aa3be0 |               1 | 71.589497089386 |    14.010030281 |    57.023591379 |    7055.6640625 | 42300.0640869141 |     8466.796875 | 503.61519004477 | 3019.26999717288 | 604.338228053723 | 148.478843058599 | 16753.862162521 | 16767.872192802 | 17009.804157853 | 17066.827749232 |      55122.6832 |               0 |        21.89237
base-FRHS_CG1xCG1-aa3be0 |               1 | 72.2553150653839 |    14.018227256 |    57.396562594 | 7067.14630126953 | 42300.0869750977 | 8480.57556152344 | 504.139801146681 | 3017.50615128517 | 604.967761376017 |  147.7540671122 | 16753.862161156 | 16767.880388412 | 17012.289654736 |  17069.68621733 |      55014.6246 |               0 |     21.84945375
base-FRHS_CG1xCG1-aa3be0 |               1 | 73.1613779067993 |    14.425574915 |    57.970583378 | 7047.27172851562 | 42300.0869750977 | 8456.72607421875 | 488.526229979774 | 2932.29817351085 | 586.231475975729 | 145.879609647472 | 16753.862161925 |  16768.28773684 |  17014.16860622 | 17072.139189598 |      54974.6483 |               0 |    21.833576875
base-FRHS_CG1xCG1-aa3be0 |               1 | 72.2950022220612 |    14.008301436 |    57.749164882 | 7048.69079589844 | 42300.0869750977 | 8458.42895507812 |  503.1795487913 | 3019.64425654019 | 603.81545854956 | 146.468420320215 | 16753.862161035 | 16767.870462471 | 17014.682354395 | 17072.431519277 |      55126.7496 |               0 |       21.893985
base-FRHS_CG1xCG1-aa3be0 |               1 | 72.4963071346283 |    14.120255124 |     57.81072628 | 7046.73767089844 | 42300.0869750977 | 8456.08520507812 | 499.051724562819 | 2995.70274075327 | 598.862069475383 | 146.271907467862 | 16753.862288935 | 16767.982544059 | 17017.507490287 | 17075.318216567 |      55103.4575 |               0 |    21.884734375
base-FRHS_CG1xCG1-aa3be0 |               1 | 69.7905919551849 |    13.988553733 |    55.144208479 | 7060.9130859375 | 42300.0869750977 |  8473.095703125 | 504.763624654178 | 3023.90710165531 | 605.716349585014 | 153.653410518201 | 16753.862161019 | 16767.850714752 | 17033.615717938 | 17088.759926417 |      55018.9601 |               0 |    21.851175625
number of threads = 16 0 0
base-FRHS_CG1xCG1-aa3be0 |               1 | 34.9264419078827 |      7.21129555 |     27.08322987 | 3523.99444580078 | 21150.0549316406 | 4228.79333496094 | 488.677023617488 | 2932.90640842423 | 586.412428340986 | 156.140658084715 | 17325.019521814 | 17332.230817364 | 17452.957736841 | 17480.040966711 |      27469.7579 |               0 |    10.909811875
base-FRHS_CG1xCG1-aa3be0 |               1 | 34.5988092422485 |     6.976520895 |    27.083624482 | 3531.70013427734 | 21150.032043457 | 4238.04016113281 | 506.226554386117 |  3031.601619458 | 607.47186526334 | 156.479800698357 | 17325.019521754 | 17331.996042649 | 17453.327284814 | 17480.410909296 |       27473.615 |               0 |     10.91134375
base-FRHS_CG1xCG1-aa3be0 |               1 | 34.750382900238 |     6.984510316 |    27.313242646 | 3532.50122070312 | 21150.032043457 | 4239.00146484375 | 505.762188168105 | 3028.13383996374 | 606.914625801726 | 155.199494976992 | 17325.019343714 |  17332.00385403 | 17453.549570934 |  17480.86281358 |      27530.9333 |               0 |    10.934108125
base-FRHS_CG1xCG1-aa3be0 |               1 | 34.7537457942963 |     6.971934694 |    27.147911431 | 3516.18957519531 | 21150.0549316406 | 4219.42749023438 | 504.334840976247 | 3033.59911702012 | 605.201809171497 | 155.423650211871 | 17325.019351635 | 17331.991286329 |  17453.61689024 | 17480.764801671 |      27454.9574 |               0 |     10.90393375
base-FRHS_CG1xCG1-aa3be0 |               1 | 34.9297251701355 |     6.961148763 |    27.280680021 | 3529.75463867188 | 21150.0549316406 | 4235.70556640625 | 507.064962816733 | 3038.29951804227 | 608.47795538008 | 155.263929020317 | 17325.019364875 | 17331.980513638 | 17453.882681251 | 17481.163361272 |      27413.4562 |               0 |     10.88745125
base-FRHS_CG1xCG1-aa3be0 |               1 | 34.8421158790588 |     6.980553798 |    27.344921179 | 3525.50506591797 | 21150.032043457 | 4230.60607910156 | 505.046614915923 | 3029.85016024363 | 606.055937899108 | 154.71268143024 | 17325.019337547 | 17331.999891345 | 17454.304810095 | 17481.649731274 |      27480.4023 |               0 |    10.914039375
